id;category_name;is_parent;is_active;created_by;created_at;updated_by;updated_at
1;Driver;false;false;projection Directives;2021-07-29;bypassing District Practical;2021-07-28
2;Nurse;true;true;Berkshire Planner enterprise;2021-07-29;fuchsia;2021-07-29
3;Nurse;true;false;harness Georgia Hat;2021-07-28;Tasty methodologies Realigned;2021-07-28
4;Driver;true;false;Mexico deposit;2021-07-28;Bedfordshire Investor;2021-07-28
5;Driver;false;false;Human Specialist;2021-07-29;California;2021-07-28
6;Nurse;true;false;Loan connecting systems;2021-07-29;open-source Avon;2021-07-28
7;Nurse;true;true;SQL Avon;2021-07-29;Central;2021-07-28
8;Nurse;true;false;leading-edge TCP;2021-07-28;pixel Lithuania;2021-07-28
9;Nurse;false;true;circuit Optimization;2021-07-29;Central;2021-07-28
10;Nurse;false;true;Cambridgeshire Armenian impactful;2021-07-28;circuit;2021-07-29
