id;degree_name;institute;year_of_passing;marks;start_date;end_date;degree_type;description;created_by;created_at;updated_by;updated_at
1;neural Cotton;morph;37581;95650;2021-07-28;2021-07-28;Associate;blue transmitter Wooden;Saudi;2021-07-28;Configurable software Regional;2021-07-29
2;Branding transform hub;Investment;39284;58372;2021-07-29;2021-07-28;Doctrol;FTP;Beauty;2021-07-29;programming Account Berkshire;2021-07-28
3;Berkshire Incredible;violet cyan drive;11844;65763;2021-07-29;2021-07-28;PostGraduate;Movies;Market Nebraska;2021-07-28;withdrawal Analyst 24/7;2021-07-29
4;Buckinghamshire Car payment;Accountability Administrator generating;73136;34333;2021-07-29;2021-07-28;HSC;content cohesive;optimal bandwidth;2021-07-28;Operative Forward Jamahiriya;2021-07-29
5;efficient;e-business invoice Cambridgeshire;94496;18350;2021-07-28;2021-07-29;Graduate;Salad Cotton;neural;2021-07-28;ivory;2021-07-29
6;aggregate Unbranded mobile;Kentucky Steel monitoring;69344;80400;2021-07-29;2021-07-28;Graduate;mobile Loan;generating function;2021-07-29;Island Operations;2021-07-29
7;Islands connect;next-generation plum vertical;60469;33730;2021-07-29;2021-07-29;Associate;Uganda Pizza Associate;virtual;2021-07-28;green intranet impactful;2021-07-28
8;Account Loan connecting;River Object-based;63290;76122;2021-07-29;2021-07-28;Diploma;Group Berkshire;Interactions;2021-07-28;Tala;2021-07-28
9;SQL;reintermediate Strategist;52986;85892;2021-07-29;2021-07-28;Associate;compelling Specialist Senior;Soft Table New;2021-07-28;facilitate Sleek back-end;2021-07-28
10;overriding parsing;EXE;90396;80937;2021-07-28;2021-07-29;Associate;multi-byte compress;Mobility Mexico;2021-07-28;Grocery Sharable Jewelery;2021-07-29
