id;country;state;city
1;Malawi;cross-platform;South Ralphmouth
2;Saint Vincent and the Grenadines;program Ghana;West Hopefort
3;Mozambique;cross-platform;North Orrinburgh
4;Liechtenstein;International generating;Port Taniafort
5;Anguilla;Islands Gold harness;Lake Oswald
6;Finland;e-commerce Reverse-engineered Directives;South Douglasfort
7;Eritrea;Investor;West Bonnie
8;Belize;COM Diverse payment;Apple Valley
9;Swaziland;wireless;Augusta-Richmond County
10;Sudan;generate Orchestrator analyzer;St. Louis
